tconst,title,year,studio,genres,runtime_minutes,imdb_rating,total_gross,genre_list
tt0376136,the rum diary,2011,FD,"Comedy,Drama",119.0,6.2,23900000,"['Comedy,Drama']"
tt1291584,warrior,2011,LGF,"Drama,Sport",140.0,8.2,23100000,"['Drama,Sport']"
tt1625346,young adult,2011,Par.,"Comedy,Drama",94.0,6.3,22900000,"['Comedy,Drama']"
tt1832382,a separation,2011,SPC,"Drama,Thriller",123.0,8.3,19900000,"['Drama,Thriller']"
tt1540133,the guard,2011,SPC,"Comedy,Crime,Thriller",96.0,7.3,19600000,"['Comedy,Crime,Thriller']"
tt1615147,margin call,2011,RAtt.,"Drama,Thriller",107.0,7.1,19600000,"['Drama,Thriller']"
tt1723811,shame,2011,FoxS,Drama,101.0,7.2,17700000,['Drama']
tt0844993,hoodwinked too! hood vs. evil,2011,Wein.,"Animation,Comedy,Crime",86.0,4.8,16900000,"['Animation,Comedy,Crime']"
tt1934231,delhi belly,2011,UTV,"Action,Comedy,Crime",103.0,7.6,16700000,"['Action,Comedy,Crime']"
tt1527186,melancholia,2011,Magn.,"Drama,Sci-Fi",135.0,7.2,15900000,"['Drama,Sci-Fi']"
tt1547230,judy moody and the not bummer summer,2011,Rela.,"Comedy,Family",91.0,4.3,15678000,"['Comedy,Family']"
tt1521197,anonymous,2011,Sony,"Drama,Thriller",130.0,6.9,15400000,"['Drama,Thriller']"
tt1440266,pina,2011,IFC,"Documentary,Music",103.0,7.7,14600000,"['Documentary,Music']"
tt1885448,the warring states,2011,CL,"Drama,War",126.0,4.6,11869000,"['Drama,War']"
tt1541995,snow flower and the secret fan,2011,FoxS,"Drama,History",104.0,6.1,11300000,"['Drama,History']"
tt1606392,win win,2011,FoxS,"Comedy,Drama,Sport",106.0,7.2,10852000,"['Comedy,Drama,Sport']"
tt1508675,le havre,2011,Jan.,"Comedy,Drama",93.0,7.2,10512000,"['Comedy,Drama']"
tt0461336,saving private perez,2011,LGF,"Adventure,Comedy,Western",105.0,6.0,9300000,"['Adventure,Comedy,Western']"
tt1053810,the big year,2011,Fox,Comedy,100.0,6.2,7444000,['Comedy']
tt1321860,the beaver,2011,Sum.,Drama,91.0,6.7,7271000,['Drama']
tt1242460,we need to talk about kevin,2011,Osci.,"Drama,Mystery,Thriller",112.0,7.5,6000000,"['Drama,Mystery,Thriller']"
tt1478964,attack the block,2011,SGem,"Action,Comedy,Sci-Fi",88.0,6.7,5800000,"['Action,Comedy,Sci-Fi']"
tt1712159,11-11-11,2011,Rocket,"Horror,Mystery,Thriller",90.0,4.0,5732800,"['Horror,Mystery,Thriller']"
tt1758692,like crazy,2011,ParV,"Drama,Romance",86.0,6.7,3736000,"['Drama,Romance']"
tt1646980,the double,2011,Imag.,"Action,Crime,Drama",98.0,5.9,3738000,"['Action,Crime,Drama']"
tt1441326,martha marcy may marlene,2011,FoxS,"Drama,Mystery,Thriller",102.0,6.9,3548000,"['Drama,Mystery,Thriller']"
tt1586752,machine gun preacher,2011,Rela.,"Action,Biography,Crime",129.0,6.8,3339000,"['Action,Biography,Crime']"
tt0893412,from prada to nada,2011,LGF,"Comedy,Drama,Romance",107.0,5.6,3123000,"['Comedy,Drama,Romance']"
tt1541160,flypaper,2011,IFC,"Comedy,Crime,Mystery",87.0,6.4,3105000,"['Comedy,Crime,Mystery']"
tt1675192,take shelter,2011,SPC,"Drama,Horror,Thriller",121.0,7.4,3100000,"['Drama,Horror,Thriller']"
tt1931569,the greatest miracle,2011,KKM,"Animation,Drama",70.0,4.5,3055000,"['Animation,Drama']"
tt2011183,pastorela,2011,LGF,"Comedy,Fantasy",88.0,6.2,2861000,"['Comedy,Fantasy']"
tt1549572,another earth,2011,FoxS,"Drama,Romance,Sci-Fi",92.0,7.0,1756000,"['Drama,Romance,Sci-Fi']"
tt1487118,chalet girl,2011,IFC,"Comedy,Romance,Sport",97.0,6.3,1701700,"['Comedy,Romance,Sport']"
tt1773109,yamla pagla deewana,2011,Eros,"Action,Comedy,Drama",163.0,5.7,1593000,"['Action,Comedy,Drama']"
tt1389127,texas killing fields,2011,Anch.,"Crime,Drama,History",105.0,5.7,957500,"['Crime,Drama,History']"
tt1841542,chillar party,2011,UTV,"Comedy,Drama,Family",135.0,7.5,832300,"['Comedy,Drama,Family']"
tt1734110,no one killed jessica,2011,UTV,"Biography,Crime,Drama",136.0,7.2,634000,"['Biography,Crime,Drama']"
tt1629705,blackthorn,2011,Magn.,"Action,Adventure,Western",102.0,6.6,624000,"['Action,Adventure,Western']"
tt1535970,the ledge,2011,IFC,"Drama,Romance,Thriller",101.0,6.5,611200,"['Drama,Romance,Thriller']"
tt1719071,another happy day,2011,P4,"Comedy,Drama",119.0,6.0,355500,"['Comedy,Drama']"
tt1324055,the mill and the cross,2011,KC,"Drama,History",92.0,7.0,342300,"['Drama,History']"
tt1074638,skyfall,2012,Sony,"Action,Adventure,Thriller",143.0,7.8,1108600000,"['Action,Adventure,Thriller']"
tt1345836,the dark knight rises,2012,WB,"Action,Thriller",164.0,8.4,1084900000,"['Action,Thriller']"
tt0903624,the hobbit: an unexpected journey,2012,WB (NL),"Adventure,Family,Fantasy",169.0,7.9,1021100000,"['Adventure,Family,Fantasy']"
tt1667889,ice age: continental drift,2012,Fox,"Adventure,Animation,Comedy",88.0,6.6,877200000,"['Adventure,Animation,Comedy']"
tt0948470,the amazing spider-man,2012,Sony,"Action,Adventure,Sci-Fi",136.0,7.0,757900000,"['Action,Adventure,Sci-Fi']"
tt1277953,madagascar 3: europe's most wanted,2012,P/DW,"Adventure,Animation,Comedy",93.0,6.8,746900000,"['Adventure,Animation,Comedy']"
